airline_sentiment,text
2,virginamerica way fly elevate gold
1,virginamerica guy flight cmh
0,virginamerica lot apology thrown customer see sad thanks nothing worst airline ever
0,virginamerica flight stuff wrong nothing worst flight ever
1,virginamerica issue finding missing item plane help find airport plane headed next
2,virginamerica match americanairlines status cool
1,virginamerica met match got status another airline upgrade http co h rdktqy asarco e ar
0,virginamerica trying book flight guy website let lose business
0,virginamerica suck
2,virginamerica thanks
0,virginamerica dm issue persisting
0,virginamerica never rec cancelled flightlation notice left w option fly p driving la red eye mon w kid
0,virginamerica trying book flight amp site
0,virginamerica flight flying boston tomorrow need home cancelled flightled flight anything
0,virginamerica stink flight cancelled flighted psp jfk notification ability rebook disappointed expected better
2,virginamerica love guy song dancing high school dance revue
0,virginamerica website trying check
2,virginamerica done thank quick response apparently faster sitting hold
1,virginamerica nervous flight dc lax getting cancelled flightled tomorrow sent dm help
2,virginamerica cool picture another virginamerica plane wing site http co b agfd c
2,virginamerica keep great work
2,virginamerica goodness people love field amazing pressure texas beatstheothers crisis please fly ny
2,virginamerica thanks great flight la boston pilot great job landing snow go back la seriously
1,virginamerica please get new york area monday afternoon
2,virginamerica thanks much awesome support guy rock
0,virginamerica seat row recline mention website soreback
0,virginamerica flight delayed hour la due mechanical problem handle like pro could tossed u free drink
0,virginamerica cancelled flight flight today precipitation scared
2,virginamerica twitter team guy killed rescheduling asap thank
0,virginamerica guy charged reschedule flight cancelled flighted refusing refund deal
0,virginamerica access website safari iphone seems work mac ipad need iphone add passbook
1,virginamerica ipad iphone clicking checkin link email received hr flight
0,virginamerica mobile site broken show header elevateuser numofpointsavailable number point let checkin
0,virginamerica really looking forward flight let know rescheduled diehardvirgin
0,virginamerica cancelled flight flight vx one sec delayed airport next cancelled flightled gonna email call reschedule
0,virginamerica problem link email check thanks
0,virginamerica change another airline get dc today united able land dc cost ugh
0,virginamerica looking forward first flight today cancelled flightled along subsequent one
2,virginamerica putting great deal pdx la la pdx show love http co eniqg buzj
2,virginamerica wish afford fly next friday going back home love everything airline
0,virginamerica gonna deal dallas dc deal dc dallas sad
1,virginamerica bug report guy
0,virginamerica hold time call center bit much
2,virginamerica like http co vpqem xuq
0,virginamerica site help
2,virginamerica best flight attendant ever http co pxdel nq l
2,awesome rt virginamerica watch nominated film foot meetthefleet oscar http co dnstitrzwy
2,virginamerica thanks much
0,virginamerica trying reset password email never arrives help
2,virginamerica airline based silicon valley disruption fcmostinnovative incubator fastcompany http co wu lbcncr
2,virginamerica nicely done
2,virginamerica looking forward watching oscar flight home tomorrow might even get something bubbly drink
0,virginamerica reason delay departure vx jfk afternoon
0,virginamerica today flight palm spring ca jfk ny cancelled flightled
2,virginamerica hahaha virginamerica guy amazing love guy
2,virginamerica sound like fun
1,virginamerica update flight jfk gt lax
1,virginamerica spruce moose
0,virginamerica cs site right please fix site unusable
0,virginamerica flight vega boston today checked online bag count register fix somehow
2,virginamerica classiq luv virgin america greetingz
0,virginamerica hi trying check website working tried different browser problem continues
2,virginamerica thanks great customer service today amp helping get travel sorted
2,virginamerica thanks guy sweet route rockies airplanemodewason
2,virginamerica love music blasting gate boston waiting flight sanfrancisco could get iced coffee
0,virginamerica passenger flt assaulted flown trust banned crew filed report faanews
0,virginamerica current bug website show select departure city selecting destination city http co sllyibe vq
0,virginamerica luggage severely dented missing wheel coming baggage claim san luggage agent miranda think help
2,virginamerica thank easy itinerary shift impending weather quick painless amp free
1,virginamerica love see girl inspired become pilot rt free woaw event march abq http co rfxlv kgdh
2,virginamerica thanks good time back vodkatonics entire flight sfo
1,virginamerica beat expectation share take santa cruz sentinel http co qm dqbai g
1,virginamerica plan start flying direct dal la
1,virginamerica big love gratitude mpower w http co agr kncpf werin oscar vipswagbags avalonhollywood http co ybmbgs dhn
2,virginamerica great job adding little luxury aesthetic improve air travel experience thank keep
0,virginamerica requested window seat confirmed window got stuck middle seat good way treat silver member
1,virginamerica grand budapest hotel oscarscountdown
1,virginamerica missed newsvp next trip
0,virginamerica wtf paid direct flight purpose stop fuel exhausted frequent flier nothing inconvenience
0,virginamerica something wrong website safari iphone
2,virginamerica thanks gate checking baggage full flight dfw lax giving early boarding sweet
0,virginamerica already checked page expired x
0,virginamerica boo refunding seat upgrade fee want buy first place
1,virginamerica share rise q financial result usa today http co lf pefe
1,virginamerica add pillow instead lie flat seat first class arm race http co rgywjbbhm
2,virginamerica see
1,virginamerica way take advantage mayweatherpacquiao
1,virginamerica know flying virgin fight mayweatherpacquiao
2,virginamerica inflight team make experience amazing
2,virginamerica cutest salt pepper shaker ever think guy get better http co vc keulg j
0,virginamerica moved seat notice better seat cabin select behind row selected disappointed
1,virginamerica share q result iol http co xz qeg nef
2,virginamerica fav airline
2,virginamerica hot female pilot sweet dca sfo
1,guy going start flying paris virginamerica lizautter welcome
1,virginamerica policy flying surgery still waiting answer tell doctor
0,virginamerica already contacted central baggage amp sent dm renttherunway charging dress lost suitcase help
2,virginamerica thank
0,virginamerica anything going website getting lot error past minute
1,virginamerica think left something plane yesterday call ah
1,virginamerica need follow back order dm
1,virginamerica need start flying kciairport
1,virginamerica told check airline regulation first contacted
0,virginamerica virginatlantic checked flight sfo lax amp told atlantic flying club gold get benefit
0,virginamerica husband ordered three drink via screen never came awesome
0,virginamerica soooo guy going leave seatbelt light flight barely call turbulence
1,virginamerica policy flying surgery
1,virginamerica post second consecutive full year net profit atwonline http co tvb zbzvhg
0,virginamerica funny story website broken missing javascript stylesheets checkin process dislike
2,virginamerica would love virgin like gopro
1,virginamerica result handily exceed forecast nytimes http co gonmrwem
1,virginamerica applied position flylaxairport wondering guy received application
1,virginamerica achieves second year profitability despite revenue pressure capa aviation http co zsuztnaijq
1,virginamerica give positive outlook see increased competition reuters http co jeu od eyj
0,virginamerica trying check ct flight tmm desktop website working sort caching bug so
1,virginamerica weather delay gt next week jfk bos dca
1,virginamerica madbee check website go airport
0,virginamerica guy know check link email broken http co npxb obmr
1,virginamerica pilot say expect choppy landing nyc due gusty wind w temperature degree amp w windchill
2,virginamerica loved wait monday return flight mostly watch inflight safety video sorrynotsorry
0,virginamerica lost luggage day ago flight vx lax iad amp calling every day response please give back stuff
0,virginamerica flight booking problem section website seems broken chrome might wanna look
2,virginamerica hi wanted see new route planned year newark love flying guy hope
2,virginamerica mean probably inappropriate board
2,virginamerica happy spend day together let
1,virginamerica missed flight standby work
2,virginamerica understanding helped thx comp
1,virginamerica brought way across country today see http co tkauygcpms
2,virginamerica thank absolutely
0,virginamerica look like broken link asset http co oardjjgrrd
1,virginamerica ready let say together noooo turbulence today
0,virginamerica manage itinerary section website seems broken http co pujvcelng
0,virginamerica check site look like every time load http co kacy awdbw
1,virginamerica u help freyabevan fund need urgent treatment old battling cancer could u help flight freyasfund
1,virginamerica may start service hawaii sanfrancisco year http co ypo nyprzl biztravel
0,virginamerica carrier le half price round trip fare stunned http co ukdjjijrow
0,virginamerica wtf happening pdx late flight march one way sfo
1,virginamerica add dtw sold
2,virginamerica free drink flight back free promo
2,virginamerica ssal thanks
1,virginamerica momma made
1,virginamerica please contact portfolio left flight vx jfk sfo tonite seat need returned call
1,virginamerica help flight jkf tonight seat c left portfolio need back
1,virginamerica shrinerack seattle bound wifey got duffle vday keeper holla http co jloiblnair
0,virginamerica luggage gone filed paperwork promised call email still resolution response central luggage
1,virginamerica debbie baldwin gave rockstar performance safety demo evening vx la sfo bestcrew sherocks
2,virginamerica thanks
2,virginamerica thanks taking care suuperg flight rockstars travel
2,virginamerica thanks lovely soft view travel san sfo http co cnctl g ef
0,virginamerica requested mileage challenge status several week ago online heard back get help
0,virginamerica trying book ticket nyc facing super fun broken styling worry keep trying
1,virginamerica many thanks follow ourprincess freyasfund usa bandie looking help http co ujfs zi kd
1,virginamerica nice lofty view flylaxairport silverstatus http co f tp dawbd
0,virginamerica applied status match feb got confirmation email day still news though guy dropped ball late flightly
1,virginamerica new go airline
1,virginamerica virginatlantic gma americanair help ourprincess need help usa http co aztdaer
2,virginamerica adore looking forward flight austin two week
2,virginamerica glad mentioned took first virgin flight year back transformative experience
1,virginamerica flight booking problem flight uphold status match tax ticket count earned status point statusmatch virginamerica
0,virginamerica trying check look like site
0,virginamerica spending birthday night dal dca get home
0,virginamerica sent couple message email provided avail try next year cheer
2,virginamerica first time flying virgin went sanfrancisco thanks smooth ride easily new fav airline
0,virginamerica seriously though direct flight sfo fll may
0,virginamerica really experience hoping w forced check small carry w nothing empty cabin space board
0,virginamerica wjere luggage slow lax
1,virginamerica jump dallas austin market http co szr pioa
0,virginamerica spoke representative offered solution loyal customer fly virginatlantic well
0,virginamerica deeply disappointed birthday promo applied trip booked mere day received email
0,virginamerica happened direct flight sfo fll looking may see connecting help dontdothistome
1,virginamerica help left blazer kooples jacket bag rd row second seat right gate lax flight sfo
1,virginamerica partner visa checkout mobile payment method help boost mobile conversion rate etailwest payment visa
2,virginamerica promoting product problem southwest recommend noneother best http co tfanxbh cf
2,virginamerica love guy pls get direct route la au
1,virginamerica would like help flight please
1,bruh virginamerica giannilee turn vxsafetydance
2,virginamerica course work virginatlantic obsessed entire virgin family
2,virginamerica ok first time flying tonight
1,virginamerica digging swanky pink mood lighting flight nyc sfo need cabaret singer think
1,virginamerica done need receipt asap could please help
0,virginamerica embossed badge patch superior one currently using http co fq xelbon
0,virginamerica vx jfk la dirty plane standard
0,virginamerica flight vx headed la jfk dirtiest va plane ever sad great airline
2,virginamerica got squared away someone picked soon tweeted tweeted sooner
0,virginamerica avis rental continue button work website book car tried time phone suck
0,virginamerica delayed
0,virginamerica currently minute hold cust service need anything add lap child reservation
1,virginamerica add pillow instead lie flat seat first class arm race http co sfjduahx z skift
2,virginamerica karinslee course fun celebrating thanks happy chinese new year
2,virginamerica flight booking problem last second flight next week sfo san chance want gift promo code since love guy
0,virginamerica comenity bank joke please change nothing constant problem bank
1,virginamerica dm u also add
2,virginamerica grandma ella th would lt bday greeting flight crew stewardess eastern airline
2,virginamerica bought tix atx dallas route thanks adding love yr airline amp yr website best transactional site ever
1,virginamerica anytime sugafly
2,virginamerica gave credit late flight flight yesterday great service wow moment unexpected gesture
1,virginamerica need receipt flight change send one
0,virginamerica submitted status match request back still heard flying monday look accelerate
2,virginamerica safety video http co cqmm nue loved first cross country flight livewelltraveled sytycd
2,virginamerica look fat look yummy
1,virginamerica ceo say southwest amp jetblue strayed low cost model http co sctomh
1,virginamerica brilliant brisk boston cue vx http co rmznivgmg
1,virginamerica atlantic plough lone furrow middleeast http co fvudmh pf thenationaluae
1,virginamerica atlantic plough lone furrow middleeast http co dcobokn ee thenationaluae
1,virginamerica atlantic plough lone furrow middleeast http co vw p tlh thenationaluae
2,virginamerica omg omg nonstop dallas austin virgin
2,virginamerica plane really pretty thought u know
1,virginamerica flying hawaii
0,virginamerica pulling hair trying book flight u site work iphone ipad computer help
2,virginamerica thank
0,virginamerica get help support ticket day incident thank
2,virginamerica good home texas moodlighting http co n bvzty zi
0,virginamerica cannot even open laptop seat c paid premium let
0,virginamerica seat c cannot even open laptop paid extra seat
1,virginamerica guy starting flight end month guess still road tripping feb
2,virginamerica thanks needing way make austin trip dca come
1,virginamerica announced new route austin w fare way http co ga pbamu c
2,virginamerica cool never ur plane
1,virginamerica dollar lax la fare
2,virginamerica great well deserved
0,virginamerica fyi info virginamerica com email address say contact password reset email exist email bounce
0,virginamerica status match week gone news flt next week hope flt count towards requirement cust svc help
0,virginamerica website suck donkey dick thought know best
1,virginamerica still develop app favorite airline
0,virginamerica crap channel pay watch uk tv
2,virginamerica got set thanks
1,virginamerica channel year
1,virginamerica thing see passbook virgin mobile mexico integrate
2,virginamerica giant virgin america match made heaven
2,virginamerica thank goodness also see friday nwk gt sf boom
0,virginamerica come iphone app still using making waste paper
0,virginamerica back seat entertainment system accept credit card apostrophe surname apostrophefail
0,virginamerica vx use lga slot instead today adding au make le likely
1,virginamerica helping step tinder game tindertips tinderchamp http co jbmvvha
2,virginamerica luv ur people product thing u charge herbal tea black tea caffeine drinker
2,virginamerica thank see soon excited see expansion destination spread wing
1,virginamerica announces new nonstop connecting austinairport amp dallaslovefield intro http co qxnoaqtyn http co jk qmdfqgf
1,virginamerica add austin dallas love field route http co xwjol flh http co aormfkac
0,virginamerica sad learn longer fly sfo gt phl hope return
1,virginamerica tweet cancelled flight chng fee flight rebook one affiliate afiliates
2,virginamerica incredible customer service ever experienced refreshing
1,virginamerica see virginamerica come philadelphia phl
2,virginamerica dreaming really open route dallas austin mean houston might next
2,virginamerica omg finally
1,virginamerica start xweekly flight dallas dallaslovefield austin apr avgeek
1,virginamerica nice see expanding texas forget u sandiego would love see flight
0,virginamerica kinda sucked earphone jack work flight may want look future passenger
0,virginamerica poor experience first computer problem seat malfunction stuck missing meeting san diego
1,virginamerica battle southwestair dallaslovefield austinairport route http co rlz ebk x via usatoday
2,virginamerica thankyou dal au route make day
2,virginamerica awesome deal dal au way http co xcvqxykg
1,virginamerica miss nerdbird san jose
2,virginamerica love taking southwestair backyard consumer win biz competes
2,virginamerica flying love austin excellent news
1,virginamerica make every vx plane nerdbird austin one getting nerd love
1,virginamerica please add frequency pdx portland
2,virginamerica congrats vx new route
0,virginamerica tried offered charge additional k new ticket stranded thurs st time last time
1,virginamerica americanair u help flight get old battling cancer need treatment freyabevan fund
0,virginamerica never bad experience one took cake extortion carry item well
0,virginamerica spend hour worrying item carryon would broken stolen since carry plane lock bag
0,virginamerica group e told room bin got plane room least bag row
0,virginamerica thanks making flight lax jfk nightmare forcing check carry bag gate
0,virginamerica lot flight book site working phone waiting minute
2,virginamerica flight artisanal cheese wine pairing
1,virginamerica virgin america fly direct seattle nyc boston
2,virginamerica classy
2,virginamerica sure lot jfk lhr flight go lot faster mph strong tailwind
2,virginamerica minus minute elevate silver upgrade window open freeneversucks
1,virginamerica save tomorrow
0,virginamerica taking year fly home dallas get shit together
1,virginamerica jezziegoldz club virgin bumping new york http co haqc gdg c
2,virginamerica jezziegoldz would rough trip luckily virginamerica flight weather
1,virginamerica thestarter
1,virginamerica please come minneapolis st paul
2,virginamerica another perfect flight come plane sun visor stay carrier make raise
2,nice rt virginamerica man steel might faster wifi saying sciencebehindtheexperience http co fgrbpazsix
2,virginamerica love dancing little richard cool bean
2,virginamerica use passbook still love though lt use email future
2,virginamerica thanks free birthday point right
1,virginamerica application io looking saw virgin mexico lt
0,virginamerica man steel fly city though frequency
2,virginamerica thanks much sharing added site http co tsvibtvt h
1,virginamerica good point
1,virginamerica heard virgin mobile hotspot
1,virginamerica got cheese plate flight
1,virginamerica flight
2,virginamerica dad segway best part whole infographic
2,virginamerica plan short haul airline europe would defiantly fly guy
2,virginamerica wifi better seating
1,virginamerica come abc one network channel
0,virginamerica started flight scolding using overhead bin offered person seated next
2,virginamerica great return call day ask myvxexperience
0,virginamerica airline cancelled flighting flight bos helping customer get home virgin saying good luck
1,virginamerica dear virgin customer stranded sf day amp cost least accommodate
1,virginamerica use next airline commercial lol http co pxexilsjbs
0,virginamerica grouping virgin others bos weather exposed actual cu serv model never flight booking problem virgin
0,virginamerica one traveler affected boston storm shocked virgin complete apathy toward customer
0,virginamerica umm reason someone different contact contact get definitive answer
0,virginamerica trying make change advance hour prior tried online earlier wanted change fee
1,virginamerica way change main cabin main cabin select flight without paying change fee penalty
2,virginamerica guy perfect always lt wervirgin
2,virginamerica thanks best customer service left industry
1,virginamerica give silver status month
2,virginamerica really wish fly fargo fargoairport fare amazings
0,virginamerica mood lighting point reclining seat kickin foot
0,virginamerica group got cancelled flightlation fee waived ticket booked rep help either
1,virginamerica sign bonus enroll elevate
2,virginamerica got pm newark home la folk ewr incredible letsgohome
1,virginamerica morning question regarding elevate point amp flight dm
1,virginamerica still waiting see starryeyes dev
1,virginamerica wondering guy recieved dm able potentially respond asap
2,virginamerica flying lax sfo looking awesome movie lineup actually wish long haul
1,virginamerica book town fare way restr http co xrdtov nl http co byackc jenniferdawnpro
2,united thanks
2,united thanks taking care mr happy customer
0,united still refund word via dm please resolve issue cancelled flightled flight useless assistant trip
0,united delayed due lack crew delayed long line deicing still need improve service united
1,united even international flight glasgow u orlando newark min
0,united think boarded flight au early think
1,united understand tough way get airport w serious risk accident steep price
0,united gate agent hooked alternate flight way prevent constant issue would rock
1,united flying gla mco week long airport departure international domestic ta
2,united thanks
2,united thanks ticket
1,united law policy
0,united worst nonrefundable first class ticket oh select global fc system auto selects economy w upgrade
0,united cheertymedad buy tix day flight transfer tix flawed security logic flawed customer service
0,united start claim week unrealistic really supposed go long car seat child ridiculous
2,united follow please airline beautifull
1,united sure united info system
0,united car seat lost united reimburse new one pair shoe necessity child
1,united submitted response link sent
1,united yes david allan send email number kmm v l km case
0,united highbuddyyy totally suck cousin worked phl said united
2,united wanted let know wonderful rosetta gate agent working flight dan ase let know wasappreciated
1,united yes paper voucher got january th
0,united beginning feb called united said would send another voucher mail never got anything tiredofwaiting
0,united internet great thing emailing executive company maybe respond timely manner
1,united need use chase united club pas yr old son come pas
1,united suppose number
0,united thats weak see ya hey virginamerica
0,united flew back w company since united didnt earlier flight
1,united lost voucher given miami aeroport jan use
0,united trying book award september need flight aegeanairlines show even w many award seat availab
0,united sure drive total hour get bag like explain debacle one want talk
1,united cheertymedad gee like almost caring ppl think int trusted adult w daughter
0,united see told repeatedly pilot late flight kept getting late flightr boarded defibrillator issue
0,united preferred security line anymore tsa pre check pull silverairways partner flight platinum spoiled
0,united newarkliberty airport need indicate different gate terminal amp c flyingainteasy
0,united yes please newly married trying update last name preexisting international flight seems easy
0,united united refuse reissue lost voucher plane take due mechanic badcustomerservice
0,united also run instructed shattered computer http co oaflfr wxb
0,united yes agent last minute one agent rude thankfully ladan nice
1,united right overnight miami
1,united client hr layover iah day claim amp recheck luggage taken care
1,united trying find loaner seat new used used car seat illegal according safety regulation
1,united dmed detail
0,united iah charlotte baggage claim rep latrice h customerservice non existent ignored customer inappropriately touched customer
1,united kewl also let know overhead bin row inop love good abbreve
2,united thanks help got need issue austrian guess sit awhile longer
0,united uctraveladvisor would loved respond website saw really long form business new seat bad
