airline_sentiment,text,aspects
0,virginamerica hey first time flyer next week excited hard time getting flight added elevate account help,"['staff', 'Punctuality', 'Price']"
1,virginamerica plz help win bid upgrade flight lax gt sea,"['staff', 'Punctuality', 'Service']"
1,virginamerica unused ticket moved new city fly fly expires travelhelp,"['Seat', 'Price', 'comfort']"
1,virginamerica flight leaving dallas seattle time feb,"['Punctuality', 'Cleanliness', 'comfort']"
2,virginamerica elevategold good reason rock,"['staff', 'Price', 'Service']"
1,virginamerica dream http co oa drfaoq http co lwwdac khx,"['staff', 'comfort', 'Cleanliness']"
2,virginamerica wow blew mind,"['Food', 'staff', 'Entertainment']"
1,virginamerica ladygaga carrieunderwood last night tribute soundofmusic oscar ladygaga think carrieunderwood agree,"['staff', 'Cleanliness', 'comfort']"
1,virginamerica ladygaga carrieunderwood entertaining,"['Entertainment', 'staff', 'comfort']"
1,virginamerica flight way supposed take minute ago website still show time flight thanks,"['Cleanliness', 'Punctuality', 'staff']"
2,virginamerica ladygaga carrieunderwood julie andrew way though ladygaga impressive carrieunderwood,"['staff', 'Price', 'comfort']"
1,virginamerica wish flew atlanta soon,"['staff', 'comfort', 'Punctuality']"
1,virginamerica ladygaga carrieunderwood julie andrew hand,"['staff', 'comfort', 'Cleanliness']"
1,virginamerica flight leaving dallas la february th,"['staff', 'Cleanliness', 'comfort']"
0,virginamerica hi excited lga gt dal deal trying book since last week amp page never load thx,"['staff', 'comfort', 'Punctuality']"
2,virginamerica know need spotify stat guiltypleasures,"['staff', 'comfort', 'Punctuality']"
2,virginamerica ladygaga carrieunderwood lady gaga amazing,"['staff', 'Food', 'Entertainment']"
1,virginamerica ladygaga carrieunderwood carrie,"['staff', 'comfort', 'Punctuality']"
1,virginamerica new marketing song http co f lfulcbq let u know think,"['comfort', 'Entertainment', 'staff']"
1,virginamerica ladygaga carrieunderwood julie andrew first lady gaga wow last night carrie meh,"['staff', 'comfort', 'Price']"
0,virginamerica called week ago adding flight elevate still shown help,"['Cleanliness', 'comfort', 'Safety']"
1,virginamerica ladygaga carrieunderwood great go carrieunderwood,"['staff', 'Price', 'Service']"
1,virginamerica ladygaga carrieunderwood sorry mary martin first,"['Price', 'Punctuality', 'Safety']"
2,virginamerica ladygaga carrieunderwood love three really beat classic,"['staff', 'comfort', 'Food']"
1,virginamerica flight dal dca pm tried check could status please,"['staff', 'Cleanliness', 'Price']"
0,virginamerica heyyyy guyyyys trying get hour someone call please,"['staff', 'comfort', 'Punctuality']"
0,virginamerica hi virgin hold minute earlier flight la nyc tonight earlier pm,"['staff', 'Cleanliness', 'Safety']"
2,virginamerica congrats winning travelzoo award best deal airline u http co kj iljaebv,"['staff', 'comfort', 'Cleanliness']"
0,virginamerica everything fine lost bag,"['staff', 'comfort', 'Price']"
1,virginamerica need change reservation virgin credit card need modify phone waive change fee online,"['comfort', 'Punctuality', 'Safety']"
1,virginamerica emailed customer service team let know need tracking number,"['Service', 'comfort', 'Entertainment']"
1,virginamerica hi booked flight need add baggage,"['staff', 'Punctuality', 'Cleanliness']"
0,virginamerica airline awesome lax loft need step game dirty table floor http co hy vrfhjht,"['staff', 'Price', 'Punctuality']"
2,virginamerica worried great ride new plane great crew airline like,"['Seat', 'staff', 'Boarding']"
2,virginamerica awesome flew yall sat morning way correct bill,"['staff', 'Service', 'comfort']"
1,virginamerica watch best student film country foot cmfat foot http co kek pdmgif,"['staff', 'Entertainment', 'Price']"
1,virginamerica first time flying different rate policy medium bag thanks,"['staff', 'comfort', 'Cleanliness']"
0,virginamerica going customer service anyway speak human asap thank,"['Service', 'comfort', 'staff']"
1,virginamerica happened doom,"['Punctuality', 'comfort', 'Price']"
0,virginamerica supp biz traveler like southwestair customer service like jetblue neverflyvirginforbusiness,"['Service', 'staff', 'comfort']"
2,virginamerica applied member inflight crew team im interested flightattendant dreampath g,"['staff', 'Punctuality', 'comfort']"
0,virginamerica best whenever begrudgingly use airline delayed late flight,"['staff', 'Price', 'Safety']"
0,virginamerica interesting flying cancelled flight next four flight planned neverflyvirginforbusiness,"['staff', 'Price', 'Punctuality']"
0,virginamerica disappointing experience shared every business traveler meet neverflyvirgin,"['Price', 'Food', 'Service']"
0,virginamerica trouble adding flight wife booked elevate account help http co px hqoks r,"['Punctuality', 'staff', 'Cleanliness']"
1,virginamerica bring reservation online using flight booking problem code,"['Safety', 'Cleanliness', 'staff']"
1,virginamerica random q distribution elevate avatar bet kitty disproportionate share http co aptzpurop,"['staff', 'comfort', 'Punctuality']"
1,virginamerica lt flying va life happens trying change trip jperhi help va home page let,"['staff', 'Service', 'comfort']"
0,virginamerica site back,"['comfort', 'staff', 'Cleanliness']"
1,virginamerica rnp yeah know,"['staff', 'comfort', 'Price']"
1,virginamerica hi get point elevate account recent flight add flight point account,"['staff', 'Cleanliness', 'Punctuality']"
0,virginamerica like tv interesting video disappointed cancelled flightled flight flight went jfk saturday,"['Price', 'Service', 'comfort']"
0,virginamerica landed lax hour late flight bag check business travel friendly nomorevirgin,"['staff', 'Service', 'Safety']"
1,virginamerica flight redirected,"['Punctuality', 'staff', 'Service']"
0,virginamerica website btw new website great user experience time another redesign,"['Price', 'staff', 'Punctuality']"
0,virginamerica check add bag website working tried desktop mobile http co avyqdmpi,"['comfort', 'Service', 'Safety']"
0,virginamerica let scanned passenger leave plane told someone remove bag st class bin uncomfortable,"['Punctuality', 'staff', 'Price']"
0,virginamerica phone number find call flight reservation,"['Service', 'comfort', 'Safety']"
0,virginamerica anyone anything today website useless one answering phone,"['staff', 'Punctuality', 'Service']"
1,virginamerica trying add boy prince ressie sf thursday virginamerica lax http co gsb j c gm,"['staff', 'comfort', 'Cleanliness']"
0,virginamerica must traveler miss flight late flight check bag missed morning appointment lost business sfo lax,"['staff', 'Price', 'Punctuality']"
1,virginamerica check new music http co marcnocwzn,"['staff', 'comfort', 'Safety']"
0,virginamerica direct flight fll gt sfo unexpected layover vega fuel yet peep next bought vega flight sneaky,"['staff', 'comfort', 'Service']"
0,virginamerica late flight bag check lost business missed flight apt three people flight exp,"['Price', 'Punctuality', 'comfort']"
2,virginamerica amazing customer service raeann sf best customerservice virginamerica flying,"['Service', 'Price', 'Punctuality']"
0,virginamerica called service line hung awesome sarcasm,"['Service', 'staff', 'Punctuality']"
0,virginamerica site tripping trying check getting plain text version reluctant enter card info,"['staff', 'Punctuality', 'comfort']"
1,virginamerica scheduled sfo dal flight today changed th due weather look like flight still,"['Cleanliness', 'Price', 'Punctuality']"
2,virginamerica getaway deal may one way lot cool city http co tzzjhuibch cheapflights farecompare,"['staff', 'Baggage', 'comfort']"
1,virginamerica getaway deal may one way lot cool city http co rpdbpx wnd cheapflights farecompare,"['staff', 'comfort', 'Punctuality']"
2,virginamerica getaway deal may one way lot cool city http co b xi yg cheapflights farecompare,"['staff', 'comfort', 'Punctuality']"
1,virginamerica getaway deal may one way lot cool city http co qdljhsloi cheapflights farecompare,"['staff', 'Baggage', 'Boarding']"
2,virginamerica great week,"['staff', 'comfort', 'Entertainment']"
0,virginamerica concerned fly plane need delayed due tech stop,"['comfort', 'Price', 'Punctuality']"
2,virginamerica best airline flown easy change reservation helpful representative amp comfortable flying experience,"['comfort', 'Service', 'Price']"
2,virginamerica another rep kicked butt naelah represents team beautifully thank,"['staff', 'Service', 'Punctuality']"
2,virginamerica beautiful front end design right cool still book ticket b c back end secure,"['staff', 'Seat', 'Service']"
2,virginamerica love team running gate e la tonight waited delayed flight kept thing entertaining,"['staff', 'Entertainment', 'comfort']"
0,virginamerica use another browser amp brand reputation built tech response cross browser compatible website,"['comfort', 'Safety', 'Price']"
0,virginamerica flight flight booking problem site totally folk problem,"['staff', 'Cleanliness', 'Punctuality']"
0,virginamerica like customer service min delay connecting passenger seems long va,"['Price', 'staff', 'Punctuality']"
2,virginamerica thanks outstanding nyc jfk crew moved mountain get home san francisco tonight,"['staff', 'Service', 'Punctuality']"
2,virginamerica absolute best team customer service ever every time fly delighted thank,"['Service', 'Price', 'staff']"
1,virginamerica provide complimentary upgrade first class available seat,"['staff', 'Seat', 'Service']"
0,virginamerica need change flight thats scheduled hour min wait time phone im calling intern help,"['comfort', 'Punctuality', 'Price']"
2,virginamerica completely awesome experience last month bos la nonstop thanks awesome flight depart time vabeatsjblue,"['staff', 'Service', 'Entertainment']"
1,virginamerica watch oscar jfk gt sfo flight,"['staff', 'Cleanliness', 'Price']"
1,virginamerica flight cancelled flightled,"['Price', 'staff', 'Punctuality']"
0,virginamerica failing customer check process link tsa pre check,"['staff', 'Punctuality', 'Service']"
0,virginamerica fidifamilies u terrible airline gave u hotel hotline number said sorry,"['Service', 'Punctuality', 'Price']"
1,virginamerica flight number sfo cabo san lucas arrived yet,"['Cleanliness', 'Price', 'Safety']"
0,virginamerica chrysichrysic assistance yesterday u cancelled flightled flight give u hotel hotline shame,"['Price', 'staff', 'Punctuality']"
0,virginamerica another delayed flight likingyoulessandless,"['staff', 'Price', 'Cleanliness']"
0,virginamerica need register service dog first class ticket sfo gt dulles phone queue hour longer pls advise,"['staff', 'Safety', 'Service']"
2,virginamerica rock making watch oscar flight redcarpet oscar oscar,"['staff', 'Punctuality', 'Cleanliness']"
1,virginamerica reallytallchris dropped track http co zv pt trk,"['comfort', 'Punctuality', 'Price']"
2,virginamerica always xoxo,"['staff', 'comfort', 'Punctuality']"
0,virginamerica book seat flight buy even check creates much anxiety frustrated,"['staff', 'Punctuality', 'comfort']"
0,virginamerica think paying extra buck rt luggage might afford hiring extra hand sfo lame,"['staff', 'Punctuality', 'Seat']"
2,virginamerica best customer service rep world irmafromdallas take cake,"['Service', 'staff', 'Punctuality']"
0,virginamerica please provide status flight cant imagine time web indicates dude weather dallas,"['staff', 'Service', 'Cleanliness']"
2,virginamerica amazing staff amp super helpful ran waltdisneyworld princesshalf spoiled comfort,"['comfort', 'staff', 'Service']"
0,virginamerica paid premium fly across country cancelled flight flight offer check fee upgrade love sad face,"['staff', 'Seat', 'Price']"
0,virginamerica question possible book seat infant giving option want seat,"['Punctuality', 'Safety', 'comfort']"
2,always together welcome rt virginamerica jessicajaymes welcome,"['staff', 'Service', 'comfort']"
2,virginamerica flight home dc sunset globe backtowinter back work refreshed http co vx vbctdlf,"['staff', 'comfort', 'Cleanliness']"
0,virginamerica understand need dm give answer damaged luggage policy,"['comfort', 'Price', 'Cleanliness']"
0,virginamerica mean policy destroyed luggage,"['Price', 'staff', 'comfort']"
1,virginamerica special assistance travel alone w kid infant priority boarding,"['staff', 'Boarding', 'Service']"
2,virginamerica thank checking ticket purchased customer happy,"['Service', 'staff', 'Boarding']"
1,virginamerica website ever coming back online,"['staff', 'comfort', 'Punctuality']"
1,virginamerica flight love field sfo definitely cancelled flightled monday february,"['Price', 'Punctuality', 'Service']"
1,virginamerica flight lga dfw time,"['staff', 'comfort', 'Cleanliness']"
1,virginamerica driver license expired little month fly friday morning using expired license,"['staff', 'Price', 'Punctuality']"
0,virginamerica problem flight booking problem web site keep giving error contact phone phone minute wait,"['Price', 'Punctuality', 'staff']"
0,virginamerica reschedule cancelled flightled flight online change button greyed,"['Price', 'Punctuality', 'comfort']"
0,virginamerica rang wait minute book ticket vendor fix site,"['comfort', 'Cleanliness', 'Safety']"
0,virginamerica got flight told today checked email tomorrow unacceptable,"['staff', 'Service', 'comfort']"
0,virginamerica flight lga cancelled flighted stuck dallas called reschedule told could get flight today,"['Punctuality', 'comfort', 'Service']"
0,virginamerica pairing include red wine white offered redwineisbetter,"['staff', 'comfort', 'Price']"
0,virginamerica website,"['staff', 'comfort', 'Cleanliness']"
0,virginamerica site seems little wonked right may want look tried two browser cs http co qsqmm kf,"['Punctuality', 'comfort', 'Safety']"
0,virginamerica disappointed agent designated silver status check line dulles airport closed assist pasengers,"['Price', 'staff', 'Punctuality']"
1,virginamerica plan include austin dallas route topnews arab emirate http co aqzwecokk,"['staff', 'comfort', 'Cleanliness']"
0,virginamerica normal receive reply central baggage baggageissues smh,"['Baggage', 'Punctuality', 'Service']"
0,virginamerica logan airport waiting checkin flight checkin desk open,"['staff', 'Punctuality', 'Boarding']"
1,virginamerica jump dallas austin market dallas news http co ewwgi gdx,"['staff', 'Cleanliness', 'comfort']"
1,virginamerica beat eps view take southwestair va luv investor business daily http co flwmgdahxu,"['staff', 'Service', 'comfort']"
1,virginamerica lister show monday,"['staff', 'Cleanliness', 'comfort']"
1,virginamerica begin dallas austin flight april ketr http co ssuvwwkyhh,"['staff', 'comfort', 'Cleanliness']"
0,virginamerica congrats got business ewr sfo lax fuck united fl sfo ewr clincher,"['staff', 'Punctuality', 'Cleanliness']"
0,virginamerica applied week ago heard back flying week disappointed,"['staff', 'Price', 'Service']"
1,virginamerica love know policy damaged luggage,"['Price', 'Service', 'staff']"
2,virginamerica thank follow,"['staff', 'comfort', 'Service']"
0,virginamerica many apology r worse airline even respond cudtomers,"['Punctuality', 'staff', 'Service']"
0,virginamerica shame va making people spend money stranded city airline landing jfk reimburse,"['staff', 'Punctuality', 'Cleanliness']"
1,virginamerica ttinac dm,"['staff', 'comfort', 'Punctuality']"
1,virginamerica please flight sjc choice fly southwest vega,"['staff', 'Cleanliness', 'comfort']"
0,virginamerica bad say take day via confirmation email inquired week claim week,"['Service', 'Punctuality', 'staff']"
0,virginamerica flight bos gt la tomorrow cancelled flightled notification wait time hour rebook another airline,"['staff', 'Price', 'Punctuality']"
2,virginamerica way fly elevate gold,"['staff', 'comfort', 'Service']"
1,virginamerica guy flight cmh,"['staff', 'comfort', 'Cleanliness']"
0,virginamerica lot apology thrown customer see sad thanks nothing worst airline ever,"['staff', 'Punctuality', 'Safety']"
0,virginamerica flight stuff wrong nothing worst flight ever,"['staff', 'Punctuality', 'Price']"
1,virginamerica issue finding missing item plane help find airport plane headed next,"['staff', 'Price', 'Punctuality']"
2,virginamerica match americanairlines status cool,"['staff', 'Food', 'comfort']"
1,virginamerica met match got status another airline upgrade http co h rdktqy asarco e ar,"['staff', 'Cleanliness', 'Safety']"
0,virginamerica trying book flight guy website let lose business,"['staff', 'Punctuality', 'comfort']"
0,virginamerica suck,"['staff', 'Punctuality', 'Price']"
2,virginamerica thanks,"['staff', 'Service', 'comfort']"
0,virginamerica dm issue persisting,"['Punctuality', 'staff', 'Cleanliness']"
0,virginamerica never rec cancelled flightlation notice left w option fly p driving la red eye mon w kid,"['staff', 'Price', 'Cleanliness']"
0,virginamerica trying book flight amp site,"['staff', 'comfort', 'Cleanliness']"
0,virginamerica flight flying boston tomorrow need home cancelled flightled flight anything,"['Punctuality', 'Price', 'Cleanliness']"
0,virginamerica stink flight cancelled flighted psp jfk notification ability rebook disappointed expected better,"['Price', 'Punctuality', 'Service']"
2,virginamerica love guy song dancing high school dance revue,"['staff', 'Entertainment', 'comfort']"
0,virginamerica website trying check,"['comfort', 'staff', 'Cleanliness']"
2,virginamerica done thank quick response apparently faster sitting hold,"['staff', 'Punctuality', 'Service']"
1,virginamerica nervous flight dc lax getting cancelled flightled tomorrow sent dm help,"['staff', 'comfort', 'Punctuality']"
2,virginamerica cool picture another virginamerica plane wing site http co b agfd c,"['staff', 'Punctuality', 'comfort']"
2,virginamerica keep great work,"['staff', 'Service', 'Price']"
2,virginamerica goodness people love field amazing pressure texas beatstheothers crisis please fly ny,"['staff', 'comfort', 'Price']"
2,virginamerica thanks great flight la boston pilot great job landing snow go back la seriously,"['staff', 'Service', 'Boarding']"
1,virginamerica please get new york area monday afternoon,"['staff', 'Price', 'Cleanliness']"
2,virginamerica thanks much awesome support guy rock,"['staff', 'Service', 'Entertainment']"
0,virginamerica seat row recline mention website soreback,"['staff', 'Cleanliness', 'Punctuality']"
0,virginamerica flight delayed hour la due mechanical problem handle like pro could tossed u free drink,"['staff', 'Punctuality', 'Price']"
0,virginamerica cancelled flight flight today precipitation scared,"['Price', 'staff', 'Punctuality']"
2,virginamerica twitter team guy killed rescheduling asap thank,"['staff', 'comfort', 'Price']"
0,virginamerica guy charged reschedule flight cancelled flighted refusing refund deal,"['staff', 'Punctuality', 'Service']"
0,virginamerica access website safari iphone seems work mac ipad need iphone add passbook,"['staff', 'Service', 'comfort']"
1,virginamerica ipad iphone clicking checkin link email received hr flight,"['Service', 'Safety', 'Cleanliness']"
0,virginamerica mobile site broken show header elevateuser numofpointsavailable number point let checkin,"['staff', 'comfort', 'Punctuality']"
0,virginamerica really looking forward flight let know rescheduled diehardvirgin,"['staff', 'Service', 'Cleanliness']"
0,virginamerica cancelled flight flight vx one sec delayed airport next cancelled flightled gonna email call reschedule,"['comfort', 'Price', 'Service']"
0,virginamerica problem link email check thanks,"['comfort', 'staff', 'Service']"
0,virginamerica change another airline get dc today united able land dc cost ugh,"['staff', 'Price', 'comfort']"
0,virginamerica looking forward first flight today cancelled flightled along subsequent one,"['Punctuality', 'Price', 'comfort']"
2,virginamerica putting great deal pdx la la pdx show love http co eniqg buzj,"['staff', 'comfort', 'Price']"
2,virginamerica wish afford fly next friday going back home love everything airline,"['staff', 'comfort', 'Price']"
0,virginamerica gonna deal dallas dc deal dc dallas sad,"['staff', 'Price', 'Punctuality']"
1,virginamerica bug report guy,"['staff', 'comfort', 'Punctuality']"
0,virginamerica hold time call center bit much,"['Price', 'Punctuality', 'staff']"
2,virginamerica like http co vpqem xuq,"['comfort', 'staff', 'Cleanliness']"
0,virginamerica site help,"['staff', 'Service', 'comfort']"
2,virginamerica best flight attendant ever http co pxdel nq l,"['staff', 'Service', 'Punctuality']"
2,awesome rt virginamerica watch nominated film foot meetthefleet oscar http co dnstitrzwy,"['staff', 'Entertainment', 'Service']"
2,virginamerica thanks much,"['staff', 'comfort', 'Service']"
0,virginamerica trying reset password email never arrives help,"['staff', 'Punctuality', 'comfort']"
2,virginamerica airline based silicon valley disruption fcmostinnovative incubator fastcompany http co wu lbcncr,"['staff', 'comfort', 'Cleanliness']"
2,virginamerica nicely done,"['staff', 'comfort', 'Service']"
2,virginamerica looking forward watching oscar flight home tomorrow might even get something bubbly drink,"['staff', 'comfort', 'Cleanliness']"
0,virginamerica reason delay departure vx jfk afternoon,"['Price', 'Punctuality', 'Safety']"
0,virginamerica today flight palm spring ca jfk ny cancelled flightled,"['Price', 'Punctuality', 'staff']"
2,virginamerica hahaha virginamerica guy amazing love guy,"['Baggage', 'Service', 'comfort']"
2,virginamerica sound like fun,"['Entertainment', 'staff', 'comfort']"
1,virginamerica update flight jfk gt lax,"['Price', 'Cleanliness', 'staff']"
1,virginamerica spruce moose,"['staff', 'comfort', 'Cleanliness']"
0,virginamerica cs site right please fix site unusable,"['staff', 'Price', 'Cleanliness']"
0,virginamerica flight vega boston today checked online bag count register fix somehow,"['Safety', 'Entertainment', 'Cleanliness']"
2,virginamerica classiq luv virgin america greetingz,"['staff', 'comfort', 'Punctuality']"
0,virginamerica hi trying check website working tried different browser problem continues,"['Punctuality', 'Safety', 'comfort']"
2,virginamerica thanks great customer service today amp helping get travel sorted,"['Service', 'staff', 'Punctuality']"
2,virginamerica thanks guy sweet route rockies airplanemodewason,"['Service', 'staff', 'comfort']"
2,virginamerica love music blasting gate boston waiting flight sanfrancisco could get iced coffee,"['Entertainment', 'staff', 'comfort']"
0,virginamerica passenger flt assaulted flown trust banned crew filed report faanews,"['Punctuality', 'comfort', 'staff']"
0,virginamerica current bug website show select departure city selecting destination city http co sllyibe vq,"['staff', 'comfort', 'Punctuality']"
0,virginamerica luggage severely dented missing wheel coming baggage claim san luggage agent miranda think help,"['Price', 'Punctuality', 'comfort']"
2,virginamerica thank easy itinerary shift impending weather quick painless amp free,"['staff', 'Punctuality', 'Service']"
1,virginamerica love see girl inspired become pilot rt free woaw event march abq http co rfxlv kgdh,"['staff', 'comfort', 'Entertainment']"
2,virginamerica thanks good time back vodkatonics entire flight sfo,"['staff', 'Price', 'Punctuality']"
1,virginamerica beat expectation share take santa cruz sentinel http co qm dqbai g,"['staff', 'comfort', 'Punctuality']"
1,virginamerica plan start flying direct dal la,"['Punctuality', 'Service', 'staff']"
1,virginamerica big love gratitude mpower w http co agr kncpf werin oscar vipswagbags avalonhollywood http co ybmbgs dhn,"['comfort', 'staff', 'Service']"
2,virginamerica great job adding little luxury aesthetic improve air travel experience thank keep,"['comfort', 'staff', 'Service']"
0,virginamerica requested window seat confirmed window got stuck middle seat good way treat silver member,"['Safety', 'Punctuality', 'staff']"
1,virginamerica grand budapest hotel oscarscountdown,"['staff', 'comfort', 'Cleanliness']"
1,virginamerica missed newsvp next trip,"['Punctuality', 'staff', 'comfort']"
0,virginamerica wtf paid direct flight purpose stop fuel exhausted frequent flier nothing inconvenience,"['staff', 'Punctuality', 'Cleanliness']"
0,virginamerica something wrong website safari iphone,"['staff', 'Punctuality', 'Price']"
2,virginamerica thanks gate checking baggage full flight dfw lax giving early boarding sweet,"['Boarding', 'staff', 'Service']"
0,virginamerica already checked page expired x,"['staff', 'comfort', 'Punctuality']"
0,virginamerica boo refunding seat upgrade fee want buy first place,"['Punctuality', 'staff', 'Cleanliness']"
1,virginamerica share rise q financial result usa today http co lf pefe,"['staff', 'comfort', 'Cleanliness']"
1,virginamerica add pillow instead lie flat seat first class arm race http co rgywjbbhm,"['Punctuality', 'Price', 'Seat']"
2,virginamerica see,"['staff', 'comfort', 'Entertainment']"
1,virginamerica way take advantage mayweatherpacquiao,"['staff', 'Price', 'comfort']"
1,virginamerica know flying virgin fight mayweatherpacquiao,"['staff', 'comfort', 'Cleanliness']"
2,virginamerica inflight team make experience amazing,"['Service', 'staff', 'Safety']"
2,virginamerica cutest salt pepper shaker ever think guy get better http co vc keulg j,"['staff', 'comfort', 'Entertainment']"
0,virginamerica moved seat notice better seat cabin select behind row selected disappointed,"['Punctuality', 'staff', 'Price']"
1,virginamerica share q result iol http co xz qeg nef,"['staff', 'comfort', 'Cleanliness']"
2,virginamerica fav airline,"['staff', 'comfort', 'Service']"
2,virginamerica hot female pilot sweet dca sfo,"['staff', 'comfort', 'Entertainment']"
1,guy going start flying paris virginamerica lizautter welcome,"['staff', 'comfort', 'Cleanliness']"
1,virginamerica policy flying surgery still waiting answer tell doctor,"['Service', 'Punctuality', 'Price']"
0,virginamerica already contacted central baggage amp sent dm renttherunway charging dress lost suitcase help,"['Punctuality', 'Price', 'Cleanliness']"
2,virginamerica thank,"['staff', 'Service', 'comfort']"
0,virginamerica anything going website getting lot error past minute,"['staff', 'Punctuality', 'Price']"
1,virginamerica think left something plane yesterday call ah,"['staff', 'Punctuality', 'Price']"
1,virginamerica need follow back order dm,"['staff', 'comfort', 'Punctuality']"
1,virginamerica need start flying kciairport,"['staff', 'Cleanliness', 'Price']"
1,virginamerica told check airline regulation first contacted,"['comfort', 'Cleanliness', 'Price']"
0,virginamerica virginatlantic checked flight sfo lax amp told atlantic flying club gold get benefit,"['staff', 'Cleanliness', 'Punctuality']"
0,virginamerica husband ordered three drink via screen never came awesome,"['Punctuality', 'staff', 'Price']"
0,virginamerica soooo guy going leave seatbelt light flight barely call turbulence,"['Punctuality', 'staff', 'Price']"
1,virginamerica policy flying surgery,"['staff', 'Cleanliness', 'comfort']"
1,virginamerica post second consecutive full year net profit atwonline http co tvb zbzvhg,"['staff', 'comfort', 'Punctuality']"
0,virginamerica funny story website broken missing javascript stylesheets checkin process dislike,"['staff', 'Punctuality', 'Cleanliness']"
2,virginamerica would love virgin like gopro,"['staff', 'comfort', 'Service']"
1,virginamerica result handily exceed forecast nytimes http co gonmrwem,"['staff', 'Price', 'Service']"
1,virginamerica applied position flylaxairport wondering guy received application,"['Cleanliness', 'comfort', 'Service']"
1,virginamerica achieves second year profitability despite revenue pressure capa aviation http co zsuztnaijq,"['staff', 'Service', 'Cleanliness']"
1,virginamerica give positive outlook see increased competition reuters http co jeu od eyj,"['staff', 'Punctuality', 'comfort']"
0,virginamerica trying check ct flight tmm desktop website working sort caching bug so,"['comfort', 'Entertainment', 'Price']"
1,virginamerica weather delay gt next week jfk bos dca,"['staff', 'Punctuality', 'Price']"
1,virginamerica madbee check website go airport,"['staff', 'Cleanliness', 'Service']"
0,virginamerica guy know check link email broken http co npxb obmr,"['Punctuality', 'comfort', 'Safety']"
